Frame,TailAngle,Condition,Fish ID,Trial,Percentage,Duration
1,0.070637856,MED,MED1,1,0.004784689,0.197729423
2,0.071649287,MED,MED1,1,0.009569378,
3,0.074600575,MED,MED1,1,0.014354067,
4,0.071628591,MED,MED1,1,0.019138756,
5,0.073134736,MED,MED1,1,0.023923445,
6,0.085970678,MED,MED1,1,0.028708134,
7,0.121812666,MED,MED1,1,0.033492823,
8,0.125028795,MED,MED1,1,0.038277512,
9,0.130542823,MED,MED1,1,0.043062201,
10,0.101730334,MED,MED1,1,0.04784689,
11,0.135125109,MED,MED1,1,0.052631579,
12,0.124769968,MED,MED1,1,0.057416268,
13,0.132490139,MED,MED1,1,0.062200957,
14,0.153967521,MED,MED1,1,0.066985646,
15,0.140312094,MED,MED1,1,0.071770335,
16,0.190369269,MED,MED1,1,0.076555024,
17,0.188065565,MED,MED1,1,0.081339713,
18,0.194836552,MED,MED1,1,0.086124402,
19,0.201907931,MED,MED1,1,0.090909091,
20,0.210803911,MED,MED1,1,0.09569378,
21,0.213200454,MED,MED1,1,0.100478469,
22,0.214425967,MED,MED1,1,0.105263158,
23,0.212826365,MED,MED1,1,0.110047847,
24,0.212307585,MED,MED1,1,0.114832536,
25,0.228831326,MED,MED1,1,0.119617225,
26,0.227841231,MED,MED1,1,0.124401914,
27,0.231416942,MED,MED1,1,0.129186603,
28,0.237250962,MED,MED1,1,0.133971292,
29,0.232164371,MED,MED1,1,0.138755981,
30,0.226732156,MED,MED1,1,0.14354067,
31,0.211168583,MED,MED1,1,0.148325359,
32,0.240708079,MED,MED1,1,0.153110048,
33,0.24888501,MED,MED1,1,0.157894737,
34,0.234369148,MED,MED1,1,0.162679426,
35,0.250289401,MED,MED1,1,0.167464115,
36,0.251052965,MED,MED1,1,0.172248804,
37,0.229173577,MED,MED1,1,0.177033493,
38,0.243643905,MED,MED1,1,0.181818182,
39,0.228421874,MED,MED1,1,0.186602871,
40,0.24415897,MED,MED1,1,0.19138756,
41,0.244862162,MED,MED1,1,0.196172249,
42,0.250743371,MED,MED1,1,0.200956938,
