Frame,TailAngle,Condition,Fish ID,Trial,Percentage
1,-0.036598854,MED,MED10,1,0.010752688
2,-0.034382023,MED,MED10,1,0.021505376
3,-0.028104447,MED,MED10,1,0.032258065
4,0.007734699,MED,MED10,1,0.043010753
5,0.066309716,MED,MED10,1,0.053763441
6,0.162724192,MED,MED10,1,0.064516129
7,0.253278234,MED,MED10,1,0.075268817
8,0.338839787,MED,MED10,1,0.086021505
9,0.479027951,MED,MED10,1,0.096774194
10,0.561646121,MED,MED10,1,0.107526882
11,0.648843914,MED,MED10,1,0.11827957
12,0.750082636,MED,MED10,1,0.129032258
13,0.806325015,MED,MED10,1,0.139784946
14,0.754646253,MED,MED10,1,0.150537634
15,0.692582983,MED,MED10,1,0.161290323
16,0.665213868,MED,MED10,1,0.172043011
17,0.529547066,MED,MED10,1,0.182795699
18,0.420983577,MED,MED10,1,0.193548387
19,0.330087934,MED,MED10,1,0.204301075
20,0.342521893,MED,MED10,1,0.215053763
21,0.239972916,MED,MED10,1,0.225806452
22,0.041412223,MED,MED10,1,0.23655914
23,-0.023082572,MED,MED10,1,0.247311828
24,-0.080686074,MED,MED10,1,0.258064516
25,-0.110994951,MED,MED10,1,0.268817204
26,-0.155783908,MED,MED10,1,0.279569892
27,-0.210524101,MED,MED10,1,0.290322581
28,-0.333210434,MED,MED10,1,0.301075269
29,-0.316023385,MED,MED10,1,0.311827957
30,-0.282312662,MED,MED10,1,0.322580645
31,-0.354058899,MED,MED10,1,0.333333333
32,-0.363224315,MED,MED10,1,0.344086022
33,-0.3910612,MED,MED10,1,0.35483871
34,-0.417591114,MED,MED10,1,0.365591398
35,-0.375822099,MED,MED10,1,0.376344086
36,-0.42318046,MED,MED10,1,0.387096774
37,-0.423839721,MED,MED10,1,0.397849462
38,-0.43999236,MED,MED10,1,0.408602151
39,-0.430339337,MED,MED10,1,0.419354839
40,-0.489949595,MED,MED10,1,0.430107527
41,-0.502537983,MED,MED10,1,0.440860215
42,-0.439904509,MED,MED10,1,0.451612903
43,-0.428826787,MED,MED10,1,0.462365591
44,-0.48234751,MED,MED10,1,0.47311828
45,-0.414237987,MED,MED10,1,0.483870968
46,-0.403575992,MED,MED10,1,0.494623656
47,-0.389241449,MED,MED10,1,0.505376344
48,-0.396592333,MED,MED10,1,0.516129032
49,-0.434141459,MED,MED10,1,0.52688172
50,-0.384649919,MED,MED10,1,0.537634409
51,-0.354873817,MED,MED10,1,0.548387097
52,-0.389349195,MED,MED10,1,0.559139785
53,-0.347698014,MED,MED10,1,0.569892473
54,-0.332983448,MED,MED10,1,0.580645161
55,-0.305912745,MED,MED10,1,0.591397849
56,-0.282751774,MED,MED10,1,0.602150538
57,-0.263924343,MED,MED10,1,0.612903226
58,-0.255299834,MED,MED10,1,0.623655914
59,-0.247386945,MED,MED10,1,0.634408602
60,-0.235188862,MED,MED10,1,0.64516129
61,-0.283690812,MED,MED10,1,0.655913978
62,-0.2082678,MED,MED10,1,0.666666667
63,-0.243529904,MED,MED10,1,0.677419355
64,-0.250025561,MED,MED10,1,0.688172043
65,-0.175046842,MED,MED10,1,0.698924731
66,-0.174485417,MED,MED10,1,0.709677419
67,-0.176332737,MED,MED10,1,0.720430108
68,-0.172448137,MED,MED10,1,0.731182796
69,-0.174292941,MED,MED10,1,0.741935484
70,-0.167767549,MED,MED10,1,0.752688172
71,-0.157128423,MED,MED10,1,0.76344086
72,-0.160821607,MED,MED10,1,0.774193548
73,-0.165949672,MED,MED10,1,0.784946237
74,-0.170078311,MED,MED10,1,0.795698925
75,-0.16599209,MED,MED10,1,0.806451613
76,-0.159389535,MED,MED10,1,0.817204301
77,-0.166347266,MED,MED10,1,0.827956989
78,-0.180003286,MED,MED10,1,0.838709677
79,-0.165961786,MED,MED10,1,0.849462366
80,-0.163353137,MED,MED10,1,0.860215054
81,-0.160894304,MED,MED10,1,0.870967742
82,-0.177210056,MED,MED10,1,0.88172043
83,-0.164455061,MED,MED10,1,0.892473118
84,-0.157515643,MED,MED10,1,0.903225806
85,-0.157560027,MED,MED10,1,0.913978495
86,-0.17322153,MED,MED10,1,0.924731183
87,-0.164935094,MED,MED10,1,0.935483871
88,-0.179003741,MED,MED10,1,0.946236559
89,-0.174325757,MED,MED10,1,0.956989247
90,-0.179606858,MED,MED10,1,0.967741935
91,-0.175888644,MED,MED10,1,0.978494624
92,-0.169954789,MED,MED10,1,0.989247312
93,-0.169954789,MED,MED10,1,1
1,-0.17089947,MED,MED10,2,0.043478261
2,-0.335341506,MED,MED10,2,0.086956522
3,-0.455767293,MED,MED10,2,0.130434783
4,-0.570343624,MED,MED10,2,0.173913043
5,-0.677985692,MED,MED10,2,0.217391304
6,-0.764110347,MED,MED10,2,0.260869565
7,-0.81032531,MED,MED10,2,0.304347826
8,-0.799546301,MED,MED10,2,0.347826087
9,-0.784618406,MED,MED10,2,0.391304348
10,-0.716774252,MED,MED10,2,0.434782609
11,-0.618358884,MED,MED10,2,0.47826087
12,-0.555560794,MED,MED10,2,0.52173913
13,-0.464227977,MED,MED10,2,0.565217391
14,-0.386299502,MED,MED10,2,0.608695652
15,-0.303738507,MED,MED10,2,0.652173913
16,-0.137923192,MED,MED10,2,0.695652174
17,-0.003456568,MED,MED10,2,0.739130435
18,0.043422677,MED,MED10,2,0.782608696
19,0.129595838,MED,MED10,2,0.826086957
20,0.2282268,MED,MED10,2,0.869565217
