Frame,TailAngle,Condition,Fish ID,Trial
1,0.025556271,TRUN,TRUN12,3
2,0.035733654,TRUN,TRUN12,3
3,0.043695917,TRUN,TRUN12,3
4,0.038517836,TRUN,TRUN12,3
5,0.030318021,TRUN,TRUN12,3
6,0.043857915,TRUN,TRUN12,3
7,0.066988977,TRUN,TRUN12,3
8,0.084598758,TRUN,TRUN12,3
9,0.130245597,TRUN,TRUN12,3
10,0.159054525,TRUN,TRUN12,3
11,0.147919739,TRUN,TRUN12,3
12,-2.951259349,TRUN,TRUN12,3
13,0.208640017,TRUN,TRUN12,3
14,0.228508073,TRUN,TRUN12,3
15,0.25336044,TRUN,TRUN12,3
16,0.277843034,TRUN,TRUN12,3
17,0.308288113,TRUN,TRUN12,3
18,-2.822800747,TRUN,TRUN12,3
19,2.147763529,TRUN,TRUN12,3
20,0.388783765,TRUN,TRUN12,3
21,2.267571527,TRUN,TRUN12,3
22,-2.694851539,TRUN,TRUN12,3
23,0.469917272,TRUN,TRUN12,3
24,0.502297406,TRUN,TRUN12,3
25,0.529666773,TRUN,TRUN12,3
26,0.562481341,TRUN,TRUN12,3
27,2.403981868,TRUN,TRUN12,3
28,2.270547567,TRUN,TRUN12,3
29,2.371389573,TRUN,TRUN12,3
30,0.667556245,TRUN,TRUN12,3
31,0.721527561,TRUN,TRUN12,3
32,0.749756985,TRUN,TRUN12,3
33,0.779760037,TRUN,TRUN12,3
34,0.79659687,TRUN,TRUN12,3
35,0.825200718,TRUN,TRUN12,3
36,0.858914094,TRUN,TRUN12,3
37,0.879022265,TRUN,TRUN12,3
38,0.896115293,TRUN,TRUN12,3
39,0.91713369,TRUN,TRUN12,3
40,0.951052334,TRUN,TRUN12,3
41,0.9649176,TRUN,TRUN12,3
42,-2.159283826,TRUN,TRUN12,3
43,1.021523776,TRUN,TRUN12,3
44,1.041780226,TRUN,TRUN12,3
45,1.069250123,TRUN,TRUN12,3
46,1.08301124,TRUN,TRUN12,3
47,1.118989568,TRUN,TRUN12,3
48,1.144554597,TRUN,TRUN12,3
49,1.167739668,TRUN,TRUN12,3
50,1.222177417,TRUN,TRUN12,3
51,1.237471911,TRUN,TRUN12,3
52,1.269655695,TRUN,TRUN12,3
53,1.289708597,TRUN,TRUN12,3
54,1.389216529,TRUN,TRUN12,3
55,1.378490605,TRUN,TRUN12,3
