Frame,TailAngle,Condition,Fish ID,Trial,Percentage
1,-0.11839177,TRUN,TRUN7,1,0.037037037
2,-0.132655701,TRUN,TRUN7,1,0.074074074
3,-0.162170172,TRUN,TRUN7,1,0.111111111
4,-0.233075836,TRUN,TRUN7,1,0.148148148
5,-0.324721216,TRUN,TRUN7,1,0.185185185
6,-0.494308049,TRUN,TRUN7,1,0.222222222
7,-0.999626276,TRUN,TRUN7,1,0.259259259
8,-1.107044679,TRUN,TRUN7,1,0.296296296
9,-1.185167772,TRUN,TRUN7,1,0.333333333
10,-1.068548458,TRUN,TRUN7,1,0.37037037
11,-1.033410912,TRUN,TRUN7,1,0.407407407
12,-0.809769945,TRUN,TRUN7,1,0.444444444
13,-0.723300215,TRUN,TRUN7,1,0.481481481
14,-0.629435843,TRUN,TRUN7,1,0.518518519
15,-0.923375979,TRUN,TRUN7,1,0.555555556
16,-0.608742456,TRUN,TRUN7,1,0.592592593
17,-0.490862371,TRUN,TRUN7,1,0.62962963
18,-0.606695522,TRUN,TRUN7,1,0.666666667
19,-0.540716357,TRUN,TRUN7,1,0.703703704
20,-0.403583337,TRUN,TRUN7,1,0.740740741
21,-0.411741214,TRUN,TRUN7,1,0.777777778
22,-0.414567509,TRUN,TRUN7,1,0.814814815
23,-0.392306007,TRUN,TRUN7,1,0.851851852
24,-0.351084838,TRUN,TRUN7,1,0.888888889
25,-0.309040723,TRUN,TRUN7,1,0.925925926
26,-0.246772526,TRUN,TRUN7,1,0.962962963
27,-0.246772526,TRUN,TRUN7,1,1
1,-0.074232503,TRUN,TRUN7,2,0.03125
2,-0.093822416,TRUN,TRUN7,2,0.0625
3,-0.065432461,TRUN,TRUN7,2,0.09375
4,-0.047729584,TRUN,TRUN7,2,0.125
5,-0.003805501,TRUN,TRUN7,2,0.15625
6,0.036054821,TRUN,TRUN7,2,0.1875
7,0.061340063,TRUN,TRUN7,2,0.21875
8,0.173337084,TRUN,TRUN7,2,0.25
9,1.53688088,TRUN,TRUN7,2,0.28125
10,1.562811432,TRUN,TRUN7,2,0.3125
11,1.346271188,TRUN,TRUN7,2,0.34375
12,1.328689208,TRUN,TRUN7,2,0.375
13,1.340910867,TRUN,TRUN7,2,0.40625
14,1.154245892,TRUN,TRUN7,2,0.4375
15,1.016277857,TRUN,TRUN7,2,0.46875
16,1.175791378,TRUN,TRUN7,2,0.5
17,1.170619679,TRUN,TRUN7,2,0.53125
18,1.195398555,TRUN,TRUN7,2,0.5625
19,1.291123124,TRUN,TRUN7,2,0.59375
20,1.423751711,TRUN,TRUN7,2,0.625
21,1.38614986,TRUN,TRUN7,2,0.65625
22,1.205358671,TRUN,TRUN7,2,0.6875
23,1.150824513,TRUN,TRUN7,2,0.71875
24,0.972226618,TRUN,TRUN7,2,0.75
25,1.068069851,TRUN,TRUN7,2,0.78125
26,1.100715045,TRUN,TRUN7,2,0.8125
27,1.184909886,TRUN,TRUN7,2,0.84375
28,1.03883894,TRUN,TRUN7,2,0.875
29,1.100109171,TRUN,TRUN7,2,0.90625
30,0.209359976,TRUN,TRUN7,2,0.9375
31,0.253646872,TRUN,TRUN7,2,0.96875
32,0.253646872,TRUN,TRUN7,2,1
1,0.00415219,TRUN,TRUN7,3,0.015384615
2,0.106659972,TRUN,TRUN7,3,0.030769231
3,0.200703465,TRUN,TRUN7,3,0.046153846
4,0.290205388,TRUN,TRUN7,3,0.061538462
5,0.426438984,TRUN,TRUN7,3,0.076923077
6,0.615309673,TRUN,TRUN7,3,0.092307692
7,0.798220182,TRUN,TRUN7,3,0.107692308
8,0.816451474,TRUN,TRUN7,3,0.123076923
9,0.921908047,TRUN,TRUN7,3,0.138461538
10,1.019841358,TRUN,TRUN7,3,0.153846154
11,1.085964655,TRUN,TRUN7,3,0.169230769
12,1.099647979,TRUN,TRUN7,3,0.184615385
13,1.123146281,TRUN,TRUN7,3,0.2
14,1.140049032,TRUN,TRUN7,3,0.215384615
15,1.091520028,TRUN,TRUN7,3,0.230769231
16,0.983028544,TRUN,TRUN7,3,0.246153846
17,0.772927953,TRUN,TRUN7,3,0.261538462
18,0.839517133,TRUN,TRUN7,3,0.276923077
19,0.799667523,TRUN,TRUN7,3,0.292307692
20,0.64074108,TRUN,TRUN7,3,0.307692308
21,0.268959226,TRUN,TRUN7,3,0.323076923
22,0.256931556,TRUN,TRUN7,3,0.338461538
23,0.059508342,TRUN,TRUN7,3,0.353846154
24,0.168340832,TRUN,TRUN7,3,0.369230769
25,0.112514384,TRUN,TRUN7,3,0.384615385
26,-0.06551377,TRUN,TRUN7,3,0.4
27,-0.156474569,TRUN,TRUN7,3,0.415384615
28,-0.167584754,TRUN,TRUN7,3,0.430769231
29,-0.198893144,TRUN,TRUN7,3,0.446153846
30,-0.237614141,TRUN,TRUN7,3,0.461538462
31,-0.254071799,TRUN,TRUN7,3,0.476923077
32,-0.291773738,TRUN,TRUN7,3,0.492307692
33,-0.32007896,TRUN,TRUN7,3,0.507692308
34,-0.327310803,TRUN,TRUN7,3,0.523076923
35,-0.320068073,TRUN,TRUN7,3,0.538461538
36,-0.609406457,TRUN,TRUN7,3,0.553846154
37,-0.660516588,TRUN,TRUN7,3,0.569230769
38,-0.33852905,TRUN,TRUN7,3,0.584615385
39,-0.605626905,TRUN,TRUN7,3,0.6
40,-0.55027021,TRUN,TRUN7,3,0.615384615
41,-0.562734219,TRUN,TRUN7,3,0.630769231
42,-0.594560198,TRUN,TRUN7,3,0.646153846
43,-0.673186098,TRUN,TRUN7,3,0.661538462
44,-0.656278663,TRUN,TRUN7,3,0.676923077
45,-0.611046144,TRUN,TRUN7,3,0.692307692
46,-0.585279672,TRUN,TRUN7,3,0.707692308
47,-0.568283123,TRUN,TRUN7,3,0.723076923
48,-0.532595235,TRUN,TRUN7,3,0.738461538
49,-0.521219719,TRUN,TRUN7,3,0.753846154
50,-0.517876389,TRUN,TRUN7,3,0.769230769
51,-0.393661501,TRUN,TRUN7,3,0.784615385
52,-0.363709665,TRUN,TRUN7,3,0.8
53,-0.425957404,TRUN,TRUN7,3,0.815384615
54,-0.402789682,TRUN,TRUN7,3,0.830769231
55,-0.37973132,TRUN,TRUN7,3,0.846153846
56,-0.337949831,TRUN,TRUN7,3,0.861538462
57,-0.314816998,TRUN,TRUN7,3,0.876923077
58,-0.283684128,TRUN,TRUN7,3,0.892307692
59,-0.263278875,TRUN,TRUN7,3,0.907692308
60,-0.254474815,TRUN,TRUN7,3,0.923076923
61,-0.251974509,TRUN,TRUN7,3,0.938461538
62,-0.235931045,TRUN,TRUN7,3,0.953846154
63,-0.23202326,TRUN,TRUN7,3,0.969230769
64,-0.20716923,TRUN,TRUN7,3,0.984615385
65,-0.20716923,TRUN,TRUN7,3,1
1,0.089732391,TRUN,TRUN7,4,0.015625
2,0.034052588,TRUN,TRUN7,4,0.03125
3,0.580091893,TRUN,TRUN7,4,0.046875
4,0.890075672,TRUN,TRUN7,4,0.0625
5,0.362173428,TRUN,TRUN7,4,0.078125
6,0.493113757,TRUN,TRUN7,4,0.09375
7,0.610547155,TRUN,TRUN7,4,0.109375
8,0.724824075,TRUN,TRUN7,4,0.125
9,0.849793119,TRUN,TRUN7,4,0.140625
10,0.900350207,TRUN,TRUN7,4,0.15625
11,0.946458694,TRUN,TRUN7,4,0.171875
12,0.974539743,TRUN,TRUN7,4,0.1875
13,1.020767412,TRUN,TRUN7,4,0.203125
14,1.128756618,TRUN,TRUN7,4,0.21875
15,1.128895811,TRUN,TRUN7,4,0.234375
16,0.989913965,TRUN,TRUN7,4,0.25
17,0.867775263,TRUN,TRUN7,4,0.265625
18,0.725142409,TRUN,TRUN7,4,0.28125
19,0.606814292,TRUN,TRUN7,4,0.296875
20,0.577558384,TRUN,TRUN7,4,0.3125
21,0.398410808,TRUN,TRUN7,4,0.328125
22,0.299261335,TRUN,TRUN7,4,0.34375
23,0.182464503,TRUN,TRUN7,4,0.359375
24,0.198823748,TRUN,TRUN7,4,0.375
25,0.131529955,TRUN,TRUN7,4,0.390625
26,-0.025317339,TRUN,TRUN7,4,0.40625
27,-0.031898944,TRUN,TRUN7,4,0.421875
28,-0.1293394,TRUN,TRUN7,4,0.4375
29,-0.144583522,TRUN,TRUN7,4,0.453125
30,-0.212806195,TRUN,TRUN7,4,0.46875
31,-0.278927505,TRUN,TRUN7,4,0.484375
32,-0.459401884,TRUN,TRUN7,4,0.5
33,-0.503863888,TRUN,TRUN7,4,0.515625
34,-0.515825348,TRUN,TRUN7,4,0.53125
35,-0.406236391,TRUN,TRUN7,4,0.546875
36,-0.543543617,TRUN,TRUN7,4,0.5625
37,-0.43960919,TRUN,TRUN7,4,0.578125
38,-0.611345677,TRUN,TRUN7,4,0.59375
39,-0.520560429,TRUN,TRUN7,4,0.609375
40,-0.518620943,TRUN,TRUN7,4,0.625
41,-0.497257162,TRUN,TRUN7,4,0.640625
42,-0.508994606,TRUN,TRUN7,4,0.65625
43,-0.521132842,TRUN,TRUN7,4,0.671875
44,-0.516152809,TRUN,TRUN7,4,0.6875
45,-0.532145309,TRUN,TRUN7,4,0.703125
46,-0.570844556,TRUN,TRUN7,4,0.71875
47,-0.546847693,TRUN,TRUN7,4,0.734375
48,-0.514572901,TRUN,TRUN7,4,0.75
49,-0.511565641,TRUN,TRUN7,4,0.765625
50,-0.486707932,TRUN,TRUN7,4,0.78125
51,-0.447965629,TRUN,TRUN7,4,0.796875
52,-0.484573559,TRUN,TRUN7,4,0.8125
53,-0.477073148,TRUN,TRUN7,4,0.828125
54,-0.464063324,TRUN,TRUN7,4,0.84375
55,-0.402273023,TRUN,TRUN7,4,0.859375
56,-0.3783961,TRUN,TRUN7,4,0.875
57,-0.229285072,TRUN,TRUN7,4,0.890625
58,-0.206524743,TRUN,TRUN7,4,0.90625
59,-0.281299905,TRUN,TRUN7,4,0.921875
60,-0.162655649,TRUN,TRUN7,4,0.9375
61,-0.134915694,TRUN,TRUN7,4,0.953125
62,-0.10629659,TRUN,TRUN7,4,0.96875
63,-0.094048466,TRUN,TRUN7,4,0.984375
64,-0.094048466,TRUN,TRUN7,4,1
1,-0.100690041,TRUN,TRUN7,5,0.027777778
2,-0.092263339,TRUN,TRUN7,5,0.055555556
3,-0.181946202,TRUN,TRUN7,5,0.083333333
4,-0.600567722,TRUN,TRUN7,5,0.111111111
5,-0.108258935,TRUN,TRUN7,5,0.138888889
6,0.022376971,TRUN,TRUN7,5,0.166666667
7,0.076762075,TRUN,TRUN7,5,0.194444444
8,0.142211034,TRUN,TRUN7,5,0.222222222
9,0.190613466,TRUN,TRUN7,5,0.25
10,0.274868248,TRUN,TRUN7,5,0.277777778
11,0.333976899,TRUN,TRUN7,5,0.305555556
12,0.411291489,TRUN,TRUN7,5,0.333333333
13,0.506693279,TRUN,TRUN7,5,0.361111111
14,0.61072426,TRUN,TRUN7,5,0.388888889
15,0.713494645,TRUN,TRUN7,5,0.416666667
16,0.806207718,TRUN,TRUN7,5,0.444444444
17,0.855787374,TRUN,TRUN7,5,0.472222222
18,0.856450246,TRUN,TRUN7,5,0.5
19,0.828963542,TRUN,TRUN7,5,0.527777778
20,0.822637625,TRUN,TRUN7,5,0.555555556
21,0.794996155,TRUN,TRUN7,5,0.583333333
22,0.517459112,TRUN,TRUN7,5,0.611111111
23,0.0179578,TRUN,TRUN7,5,0.638888889
24,0.001686273,TRUN,TRUN7,5,0.666666667
25,-0.034111372,TRUN,TRUN7,5,0.694444444
26,-0.085652684,TRUN,TRUN7,5,0.722222222
27,-0.226346343,TRUN,TRUN7,5,0.75
28,0.174891745,TRUN,TRUN7,5,0.777777778
29,0.176035035,TRUN,TRUN7,5,0.805555556
30,0.173281679,TRUN,TRUN7,5,0.833333333
31,0.182995672,TRUN,TRUN7,5,0.861111111
32,0.191880791,TRUN,TRUN7,5,0.888888889
33,0.217427151,TRUN,TRUN7,5,0.916666667
34,0.228232502,TRUN,TRUN7,5,0.944444444
35,0.244319542,TRUN,TRUN7,5,0.972222222
36,0.244319542,TRUN,TRUN7,5,1
