Fish ID,Condition,Trial,Max,Speed,Recovery,Duration,SL
TRUN1,TRUN,1,1.47,0.282,0.718,0.332,29.29
TRUN1,TRUN,2,1.81,0.299,0.701,0.228,29.29
TRUN1,TRUN,3,1.75,0.431,0.569,0.248,29.29
TRUN1,TRUN,4,1.46,0.331,0.669,0.352,29.29
TRUN1,TRUN,5,1.5,0.147,0.853,0.353,29.29
TRUN3,TRUN,1,1.89,0.367,0.644,0.16,31.218
TRUN3,TRUN,2,1.29,0.468,0.532,0.22,31.218
TRUN3,TRUN,3,1.7,0.59,0.41,0.205,31.218
TRUN3,TRUN,4,2.03,0.459,0.541,0.206,31.218
TRUN3,TRUN,5,1.22,0.339,0.661,0.109,31.218
WT5,WT,1,1.48,0.181,0.819,0.0889,25.549
WT5,WT,2,1.27,0.238,0.762,0.0397,25.549
WT5,WT,3,1.58,0.166,0.834,0.143,25.549
WT5,WT,4,1.97,0.394,0.606,0.24,25.549
WT5,WT,5,1.92,0.421,0.579,0.0539,25.549
WT6,WT,1,1.48,0.321,0.679,0.0795,26.836
WT6,WT,2,1.68,0.495,0.505,0.0899,26.836
WT6,WT,3,1.65,0.398,0.602,0.171,26.836
WT6,WT,4,1.85,0.39,0.61,0.0776,26.836
WT6,WT,5,1.51,0.403,0.597,0.132,26.836
WT2,WT,1,1.64,0.469,0.531,0.0908,29.174
WT2,WT,2,1.89,0.456,0.544,0.245,29.174
WT2,WT,3,1.97,0.394,0.606,0.24,29.174
WT2,WT,4,1.92,0.421,0.579,0.0539,29.174
WT2,WT,5,1.41,0.636,0.364,0.052,29.174
WT1,WT,1,2.28,0.457,0.543,0.207,25.239
WT1,WT,2,1.22,0.37,0.63,0.164,25.239
WT1,WT,3,1.77,0.509,0.491,0.206,25.239
WT1,WT,4,1.68,0.491,0.509,0.218,25.239
WT1,WT,5,1.77,0.469,0.531,0.331,25.239
TRUN2,TRUN,1,2.02,0.302,0.698,0.194,32.867
TRUN2,TRUN,2,1.81,0.589,0.411,0.0851,32.867
TRUN2,TRUN,3,1.56,0.393,0.607,0.137,32.867
TRUN2,TRUN,4,1.52,0.585,0.415,0.112,32.867
TRUN2,TRUN,5,1.41,0.264,0.736,0.14,32.867
TRUN4,TRUN,1,1.45,0.241,0.759,0.153,30.942
TRUN4,TRUN,2,1.47,0.32,0.68,0.0473,30.942
TRUN4,TRUN,3,1.67,0.296,0.704,0.0766,30.942
TRUN4,TRUN,4,1.6,0.358,0.642,0.0634,30.942
TRUN4,TRUN,5,1.34,0.394,0.606,0.0672,30.942
TRUN6,TRUN,1,2.18,0.191,0.809,0.104,31.822
TRUN6,TRUN,2,1.24,0.344,0.656,0.0577,31.822
TRUN6,TRUN,3,1.3,0.38,0.62,0.114,31.822
TRUN6,TRUN,4,1.61,0.588,0.412,0.214,31.822
TRUN6,TRUN,5,1.54,0.579,0.421,0.247,31.822
WT3,WT,1,1.76,0.436,0.564,0.184,30.454
WT3,WT,2,1.65,0.238,0.762,0.314,30.454
WT3,WT,3,1.49,0.636,0.364,0.164,30.454
WT3,WT,4,1.95,0.491,0.509,0.218,30.454
WT3,WT,5,1.68,0.413,0.587,0.234,30.454
MED1,MED,1,1.25,0.34,0.66,0.198,31.328
MED1,MED,2,1.23,0.453,0.547,0.14,31.328
MED1,MED,3,1.32,0.554,0.446,0.0956,31.328
MED1,MED,4,0.969,0.45,0.55,0.103,31.328
MED1,MED,5,1.15,0.29,0.71,0.131,31.328
MED3,MED,1,0.994,0.383,0.617,0.0445,28.118
MED3,MED,2,1.18,0.385,0.615,0.0492,28.118
MED3,MED,3,1.1,0.377,0.623,0.0653,28.118
MED3,MED,4,1.19,0.68,0.32,0.0946,28.118
MED3,MED,5,1.02,0.236,0.764,0.168,28.118
MED10,MED,1,1.2,0.219,0.781,0.13,27.283
MED10,MED,2,0.938,0.364,0.636,0.0312,27.283
MED10,MED,3,0.709,0.28,0.72,0.152,27.283
MED10,MED,4,0.831,0.0692,0.931,0.15,27.283
MED10,MED,5,0.894,0.763,0.237,0.036,27.283
MED11,MED,1,0.806,0.14,0.86,0.088,26.755
MED11,MED,2,0.81,0.304,0.696,0.0218,26.755
MED11,MED,3,0.876,0.137,0.863,0.111,26.755
MED11,MED,4,0.923,0.279,0.721,0.129,26.755
MED11,MED,5,1.27,0.428,0.572,0.19,26.755
MED12,MED,1,1.29,0.542,0.458,0.159,28.331
MED12,MED,2,0.987,0.419,0.581,0.235,28.331
MED12,MED,3,1.43,0.293,0.707,0.203,28.331
MED12,MED,4,0.871,0.339,0.661,0.206,28.331
MED12,MED,5,1.01,0.284,0.716,0.153,28.331
MED13,MED,1,0.916,0.227,,0.071,30.288
MED13,MED,2,0.873,0.174,,0.109,30.288
MED13,MED,3,0.66,0.553,,0.197,30.288
MED13,MED,4,1.02,0.163,,0.0814,30.288
MED13,MED,5,0.731,0.231,,0.0738,30.288
WT10,WT,1,1.6,0.469,,0.198,29.854
WT10,WT,2,1.77,0.343,,0.102,29.854
WT10,WT,3,1.18,0.583,,0.0568,29.854
WT10,WT,4,1.42,0.237,,0.148,29.854
WT10,WT,5,1.5,0.392,,0.0965,29.854
